seat_no,paper_1_IA,paper_2_IA,paper_3_IA,paper_4_IA,paper_5_IA,paper_6_IA,paper_7_IA,paper_8_IA,paper_9_IA,paper_10_IA,paper_1_TOT,paper_2_TOT,paper_3_TOT,paper_4_TOT,paper_5_TOT,paper_6_TOT,paper_7_TOT,paper_8_TOT,paper_9_TOT,paper_10_TOT,paper_1_EX,paper_2_EX,paper_3_EX,paper_4_EX,paper_5_EX,paper_6_EX,paper_7_EX,paper_8_EX,paper_9_EX,paper_10_EX
5201579,14.0,12.0,20.0,20.0,42.0,13.0,15.0,13.0,22.0,22.0,59.0,45.0,40.0,37.0,64.0,46.0,59.0,51.0,22.0,22.0,45.0,33.0,45.0,33.0,20.0,33.0,44.0,38.0,17.0,22.0
5201580,19.0,15.0,19.0,12.0,42.0,18.0,20.0,17.0,16.0,20.0,66.0,50.0,39.0,32.0,62.0,83.0,67.0,81.0,16.0,20.0,47.0,35.0,47.0,35.0,20.0,65.0,47.0,64.0,20.0,20.0
5201581,12.0,11.0,15.0,12.0,25.0,10.0,13.0,14.0,11.0,14.0,55.0,43.0,35.0,30.0,41.0,47.0,55.0,64.0,11.0,14.0,43.0,32.0,43.0,32.0,20.0,37.0,42.0,50.0,18.0,16.0
5201582,11.0,11.0,19.0,20.0,49.0,13.0,17.0,14.0,20.0,22.0,11.0,49.0,38.0,39.0,72.0,45.0,58.0,54.0,20.0,22.0,,38.0,0.0,38.0,19.0,32.0,41.0,40.0,19.0,23.0
5201583,15.0,11.0,10.0,12.0,25.0,11.0,16.0,14.0,13.0,17.0,55.0,57.0,26.0,28.0,42.0,64.0,69.0,53.0,13.0,17.0,40.0,46.0,40.0,46.0,16.0,53.0,53.0,39.0,16.0,17.0
5201584,8.0,4.0,13.0,10.0,21.0,3.0,4.0,10.0,10.0,10.0,22.0,18.0,30.0,26.0,21.0,23.0,30.0,32.0,10.0,10.0,14.0,14.0,14.0,14.0,17.0,20.0,26.0,22.0,16.0,0.0
5201585,12.0,8.0,16.0,12.0,33.0,15.0,13.0,16.0,12.0,11.0,49.0,49.0,36.0,28.0,50.0,54.0,52.0,54.0,12.0,11.0,37.0,41.0,37.0,41.0,20.0,39.0,39.0,38.0,16.0,17.0
5201586,16.0,13.0,24.0,21.0,38.0,17.0,19.0,16.0,22.0,24.0,49.0,60.0,47.0,41.0,60.0,66.0,73.0,79.0,22.0,24.0,33.0,47.0,33.0,47.0,23.0,49.0,54.0,63.0,20.0,22.0
5201587,13.0,12.0,19.0,17.0,39.0,13.0,15.0,17.0,18.0,15.0,69.0,66.0,39.0,34.0,59.0,63.0,64.0,69.0,18.0,15.0,56.0,54.0,56.0,54.0,20.0,50.0,49.0,52.0,17.0,20.0
5201588,14.0,9.0,19.0,20.0,42.0,12.0,16.0,13.0,19.0,23.0,65.0,50.0,39.0,37.0,64.0,33.0,68.0,40.0,19.0,23.0,51.0,41.0,51.0,41.0,20.0,21.0,52.0,27.0,17.0,22.0
