seat_no,paper_1,paper_2,paper_3,paper_4,paper_5,paper_6,paper_7,paper_8,paper_9,paper_10
5018500,42171,42172,CSL701,CSL702,CSP701,42175,42177,42184,CSDL7013,CSDL7022
5018501,42171,42172,CSL701,CSL702,CSP701,42175,42177,42184,CSDL7013,CSDL7022
5018502,42171,42172,CSL701,CSL702,CSP701,42175,42177,42184,CSDL7013,CSDL7022
5018503,42171,42172,CSL701,CSL702,CSP701,42175,42177,42184,CSDL7013,CSDL7022
5018504,42171,42172,CSL701,CSL702,CSP701,42175,42177,42184,CSDL7013,CSDL7022
5018505,42171,42172,CSL701,CSL702,CSP701,42175,42177,42184,CSDL7013,CSDL7022
5018506,42171,42172,CSL701,CSL702,CSP701,42175,42177,42184,CSDL7013,CSDL7022
5018507,42171,42172,CSL701,CSL702,CSP701,42175,42177,42184,CSDL7013,CSDL7022
5018508,42171,42172,CSL701,CSL702,CSP701,42175,42177,42184,CSDL7013,CSDL7022
5018509,42171,42172,CSL701,CSL702,CSP701,42175,42177,42184,CSDL7013,CSDL7022
5018510,42171,42172,CSL701,CSL702,CSP701,42175,42177,42184,CSDL7013,CSDL7022
5018511,42171,42172,CSL701,CSL702,CSP701,42175,42177,42184,CSDL7013,CSDL7022
5018512,42171,42172,CSL701,CSL702,CSP701,42175,42177,42184,CSDL7013,CSDL7022
5018513,42171,42172,CSL701,CSL702,CSP701,42175,42177,42184,CSDL7013,CSDL7022
5018514,42171,42172,CSL701,CSL702,CSP701,42175,42177,42184,CSDL7013,CSDL7022
5018515,42171,42172,CSL701,CSL702,CSP701,42175,42177,42184,CSDL7013,CSDL7022
5018516,42171,42172,CSL701,CSL702,CSP701,42175,42177,42184,CSDL7013,CSDL7022
5018517,42171,42172,CSL701,CSL702,CSP701,42175,42177,42184,CSDL7013,CSDL7022
5018518,42171,42172,CSL701,CSL702,CSP701,42175,42177,42184,CSDL7013,CSDL7022
5018519,42171,42172,CSL701,CSL702,CSP701,42175,42177,42184,CSDL7013,CSDL7022
5018520,42171,42172,CSL701,CSL702,CSP701,42175,42177,42184,CSDL7013,CSDL7022
5018521,42171,42172,CSL701,CSL702,CSP701,42175,42177,42184,CSDL7013,CSDL7022
5018522,42171,42172,CSL701,CSL702,CSP701,42175,42177,42184,CSDL7013,CSDL7022
5018523,42171,42172,CSL701,CSL702,CSP701,42175,42177,42184,CSDL7013,CSDL7022
5018524,42171,42172,CSL701,CSL702,CSP701,42175,42177,42184,CSDL7013,CSDL7022
